"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","4,943.85","5,014.95","5,014.95","4,942.69","-","-1.42%"
"Oct 24, 2019","5,014.95","4,910.54","5,014.95","4,853.51","-","2.13%"
"Oct 23, 2019","4,910.54","4,992.77","5,005.60","4,896.75","-","-1.65%"
"Oct 22, 2019","4,992.77","4,953.20","5,018.91","4,925.86","-","0.80%"
"Oct 21, 2019","4,953.20","5,192.39","5,194.01","4,920.75","-","-4.61%"
"Oct 18, 2019","5,192.39","5,172.31","5,192.39","5,167.04","-","0.39%"
"Oct 17, 2019","5,172.31","5,150.11","5,180.53","5,143.16","-","0.43%"
"Oct 16, 2019","5,150.11","5,157.50","5,157.50","5,125.05","-","-0.14%"
"Oct 15, 2019","5,157.50","5,131.57","5,157.50","5,127.22","-","0.51%"
"Oct 14, 2019","5,131.57","5,136.60","5,146.64","5,119.96","-","-0.10%"
"Oct 11, 2019","5,136.60","5,056.11","5,136.60","5,056.11","-","1.59%"
"Oct 10, 2019","5,056.11","5,032.56","5,062.25","5,028.96","-","0.47%"
"Oct 09, 2019","5,032.56","5,041.19","5,061.87","5,028.60","-","-0.17%"
"Oct 08, 2019","5,041.19","5,050.95","5,050.95","5,020.46","-","-0.19%"
"Oct 07, 2019","5,050.95","5,040.20","5,051.36","5,027.19","-","0.21%"
"Oct 04, 2019","5,040.20","5,000.77","5,044.18","5,000.77","-","0.79%"
"Oct 03, 2019","5,000.77","5,021.67","5,025.26","4,983.82","-","-0.42%"
"Oct 02, 2019","5,021.67","5,042.61","5,046.11","5,007.77","-","-0.42%"
"Oct 01, 2019","5,042.61","5,059.04","5,063.36","5,028.11","-","-0.32%"
"Sep 30, 2019","5,059.04","5,099.64","5,121.34","5,037.75","-","-0.80%"
"Sep 27, 2019","5,099.64","5,026.19","5,152.30","5,026.19","-","1.46%"
"Sep 26, 2019","5,026.19","5,006.24","5,026.19","5,003.71","-","0.40%"
"Sep 25, 2019","5,006.24","5,000.64","5,006.24","4,954.54","-","0.11%"
"Sep 24, 2019","5,000.64","5,025.21","5,041.30","4,988.29","-","-0.49%"
"Sep 23, 2019","5,025.21","5,072.93","5,078.87","5,020.35","-","-0.94%"
"Sep 17, 2019","5,072.93","5,069.68","5,072.93","5,028.57","-","0.06%"
"Sep 16, 2019","5,069.68","5,004.44","5,069.68","4,985.30","-","1.30%"
"Sep 13, 2019","5,004.44","4,974.79","5,008.70","4,962.15","-","0.60%"
"Sep 12, 2019","4,974.80","4,957.00","4,975.85","4,939.32","-","0.36%"
"Sep 11, 2019","4,957.00","4,880.27","4,957.00","4,858.89","-","1.57%"
"Sep 10, 2019","4,880.27","4,860.63","4,880.60","4,844.89","-","0.40%"
"Sep 09, 2019","4,860.63","4,823.57","4,865.53","4,820.61","-","0.80%"
"Sep 06, 2019","4,822.26","4,817.83","4,838.15","4,811.08","-","0.09%"
"Sep 05, 2019","4,817.83","4,757.44","4,822.96","4,757.44","-","1.27%"
"Sep 04, 2019","4,757.24","4,713.35","4,759.92","4,713.35","-","0.75%"
"Sep 03, 2019","4,721.78","4,772.20","4,772.20","4,718.29","-","-1.09%"
"Sep 02, 2019","4,773.74","4,804.37","4,804.80","4,764.81","-","-0.64%"
"Aug 30, 2019","4,804.37","4,692.20","4,804.58","4,683.88","-","2.39%"
"Aug 29, 2019","4,692.20","4,609.64","4,692.59","4,609.64","-","1.79%"
"Aug 28, 2019","4,609.64","4,604.96","4,619.68","4,589.45","-","0.10%"
"Aug 27, 2019","4,604.96","4,616.64","4,664.20","4,604.68","-","-0.25%"
"Aug 26, 2019","4,616.64","4,648.62","4,675.60","4,594.51","-","-0.69%"
"Aug 23, 2019","4,648.62","4,738.97","4,739.75","4,644.78","-","-1.91%"
"Aug 22, 2019","4,738.97","4,784.49","4,790.82","4,729.42","-","-0.95%"
"Aug 21, 2019","4,784.49","4,777.04","4,805.87","4,777.04","-","0.16%"
"Aug 20, 2019","4,777.04","4,787.01","4,798.92","4,770.41","-","-0.21%"
"Aug 19, 2019","4,787.01","4,798.52","4,830.59","4,787.01","-","-0.24%"
"Aug 16, 2019","4,798.52","4,781.03","4,808.76","4,771.91","-","0.37%"
"Aug 14, 2019","4,781.03","4,845.60","4,848.06","4,781.03","-","-1.33%"
"Aug 13, 2019","4,845.60","4,827.53","4,873.70","4,820.97","-","0.37%"
"Aug 12, 2019","4,827.53","4,913.10","4,913.10","4,802.81","-","-1.74%"
"Aug 09, 2019","4,913.10","4,910.08","4,941.33","4,891.42","-","0.05%"
"Aug 08, 2019","4,910.58","4,811.07","4,913.05","4,811.07","-","2.07%"
"Aug 07, 2019","4,811.07","4,777.87","4,826.45","4,763.22","-","0.69%"
"Aug 06, 2019","4,777.87","4,780.39","4,837.25","4,777.87","-","-0.05%"
"Aug 05, 2019","4,780.39","4,885.29","4,885.29","4,758.58","-","-2.15%"
"Aug 02, 2019","4,885.29","4,940.81","4,940.81","4,872.05","-","-1.12%"
"Aug 01, 2019","4,940.81","4,972.36","4,990.99","4,940.40","-","-0.63%"
"Jul 31, 2019","4,972.36","5,001.10","5,008.56","4,972.11","-","-0.57%"
"Jul 30, 2019","5,001.10","5,000.71","5,008.67","4,986.69","-","0.01%"
"Jul 29, 2019","5,000.71","4,981.09","5,001.74","4,980.34","-","0.39%"
"Jul 26, 2019","4,981.09","4,992.75","5,018.57","4,974.62","-","-0.23%"
"Jul 25, 2019","4,992.75","4,969.33","4,993.40","4,962.73","-","0.47%"
"Jul 24, 2019","4,969.33","4,997.63","4,998.95","4,966.32","-","-0.57%"
"Jul 23, 2019","4,997.63","5,032.09","5,041.20","4,991.67","-","-0.68%"
"Jul 22, 2019","5,032.09","5,052.72","5,063.89","5,023.13","-","-0.41%"
"Jul 19, 2019","5,052.72","5,041.08","5,059.69","5,027.28","-","0.23%"
"Jul 18, 2019","5,041.09","5,050.75","5,057.89","5,035.74","-","-0.19%"
"Jul 17, 2019","5,050.75","5,076.43","5,083.16","5,039.63","-","-0.51%"
"Jul 15, 2019","5,076.43","5,068.41","5,080.12","5,062.25","-","0.16%"
"Jul 12, 2019","5,068.41","5,074.88","5,086.49","5,066.87","-","-0.13%"
"Jul 11, 2019","5,074.88","5,073.48","5,090.74","5,068.81","-","0.03%"
"Jul 10, 2019","5,073.48","5,054.21","5,074.68","5,046.87","-","0.38%"
"Jul 09, 2019","5,054.21","5,066.69","5,074.86","5,036.69","-","-0.25%"
"Jul 08, 2019","5,066.69","5,075.73","5,076.79","5,048.07","-","-0.18%"
"Jul 05, 2019","5,075.73","5,054.87","5,076.73","5,016.10","-","0.41%"
"Jul 04, 2019","5,054.87","5,054.95","5,058.69","5,038.05","-","-0.00%"
"Jul 03, 2019","5,054.95","5,009.72","5,055.24","5,008.81","-","0.90%"
"Jul 02, 2019","5,009.72","5,062.90","5,064.91","5,009.72","-","-1.05%"
"Jul 01, 2019","5,062.90","5,070.71","5,099.89","5,062.90","-","-0.15%"
"Jun 28, 2019","5,070.71","5,074.03","5,082.00","5,048.96","-","-0.07%"
"Jun 27, 2019","5,074.03","5,083.55","5,091.90","5,046.76","-","-0.19%"
"Jun 26, 2019","5,083.55","5,098.18","5,098.18","5,075.50","-","-0.29%"
"Jun 25, 2019","5,098.18","5,090.65","5,098.44","5,077.19","-","0.15%"
"Jun 24, 2019","5,090.65","5,060.00","5,092.48","5,048.05","-","0.61%"
"Jun 21, 2019","5,060.00","5,060.72","5,063.98","5,043.56","-","-0.01%"
"Jun 20, 2019","5,060.72","5,033.60","5,061.50","5,027.02","-","0.54%"
"Jun 19, 2019","5,033.60","5,040.57","5,042.57","5,019.44","-","-0.14%"
"Jun 18, 2019","5,040.57","5,024.92","5,058.47","5,024.82","-","0.31%"
"Jun 17, 2019","5,024.92","5,058.88","5,060.94","5,024.92","-","-0.67%"
"Jun 14, 2019","5,058.88","5,071.76","5,072.83","5,041.52","-","-0.25%"
"Jun 13, 2019","5,071.76","5,067.85","5,076.47","5,054.63","-","0.08%"
"Jun 12, 2019","5,067.85","5,069.23","5,085.79","5,057.11","-","-0.03%"
"Jun 11, 2019","5,069.24","5,018.99","5,093.94","5,018.99","-","1.00%"
"Jun 10, 2019","5,018.99","4,951.13","5,019.78","4,951.13","-","1.37%"
"Jun 07, 2019","4,951.13","4,926.98","4,968.87","4,922.68","-","0.49%"
"Jun 06, 2019","4,926.98","4,957.45","4,967.90","4,920.82","-","-0.61%"
"Jun 05, 2019","4,957.45","5,005.38","5,019.41","4,951.55","-","-0.96%"
"Jun 04, 2019","5,005.39","5,013.66","5,035.55","5,002.29","-","-0.16%"
"Jun 03, 2019","5,013.66","4,977.09","5,019.90","4,974.09","-","0.73%"
"May 31, 2019","4,977.09","4,934.41","4,987.60","4,904.18","-","0.86%"
"May 30, 2019","4,934.41","4,876.71","4,942.26","4,872.79","-","1.18%"
"May 29, 2019","4,876.71","4,798.35","4,877.90","4,798.35","-","1.63%"
"May 28, 2019","4,798.35","4,850.38","4,863.79","4,798.35","-","-1.07%"
"May 27, 2019","4,850.38","4,881.47","4,883.26","4,850.29","-","-0.64%"
"May 24, 2019","4,881.47","4,893.89","4,911.73","4,881.47","-","-0.25%"
"May 23, 2019","4,893.89","4,920.89","4,920.89","4,873.76","-","-0.55%"
"May 22, 2019","4,920.89","4,914.48","4,950.66","4,912.53","-","0.13%"
"May 20, 2019","4,914.48","4,925.58","4,944.58","4,914.48","-","-0.23%"
"May 17, 2019","4,925.58","4,977.75","4,987.27","4,925.58","-","-1.05%"
"May 16, 2019","4,977.75","5,005.24","5,016.85","4,977.75","-","-0.55%"
"May 15, 2019","5,005.24","5,018.93","5,023.27","4,972.47","-","-0.27%"
"May 14, 2019","5,018.93","4,970.01","5,022.75","4,967.26","-","0.98%"
"May 13, 2019","4,970.01","5,050.57","5,079.86","4,969.82","-","-1.60%"
"May 10, 2019","5,050.57","5,045.53","5,073.34","5,008.49","-","0.10%"
"May 09, 2019","5,045.54","5,060.47","5,069.47","5,016.35","-","-0.30%"
"May 08, 2019","5,060.47","5,078.64","5,080.31","5,035.74","-","-0.36%"
"May 07, 2019","5,078.64","5,124.21","5,125.01","5,069.09","-","-0.89%"
"May 06, 2019","5,124.21","5,132.32","5,143.43","5,086.06","-","-0.16%"
"May 03, 2019","5,132.32","5,141.58","5,178.80","5,132.32","-","-0.18%"
"May 02, 2019","5,141.58","5,187.10","5,197.07","5,141.58","-","-0.88%"
"Apr 30, 2019","5,187.10","5,169.86","5,187.32","5,155.84","-","0.33%"
"Apr 29, 2019","5,169.86","5,191.70","5,191.70","5,167.95","-","-0.42%"
"Apr 26, 2019","5,191.70","5,170.42","5,192.98","5,147.20","-","0.41%"
"Apr 25, 2019","5,170.42","5,201.44","5,204.89","5,155.13","-","-0.60%"
"Apr 24, 2019","5,201.44","5,217.07","5,224.15","5,170.70","-","-0.30%"
"Apr 23, 2019","5,217.07","5,234.30","5,238.42","5,197.00","-","-0.33%"
"Apr 22, 2019","5,234.30","5,261.71","5,263.80","5,232.96","-","-0.52%"
"Apr 18, 2019","5,261.71","5,275.43","5,278.46","5,245.22","-","-0.26%"
"Apr 17, 2019","5,275.43","5,261.00","5,279.13","5,258.22","-","0.27%"
"Apr 16, 2019","5,261.00","5,232.32","5,261.94","5,227.70","-","0.55%"
"Apr 15, 2019","5,232.32","5,239.57","5,255.18","5,228.02","-","-0.14%"
"Apr 12, 2019","5,239.57","5,254.87","5,259.40","5,224.76","-","-0.28%"
"Apr 11, 2019","5,254.48","5,278.00","5,281.42","5,240.92","-","-0.45%"
"Apr 10, 2019","5,278.00","5,281.78","5,285.52","5,265.74","-","-0.07%"
"Apr 09, 2019","5,281.78","5,274.72","5,282.15","5,239.79","-","0.13%"
"Apr 08, 2019","5,274.72","5,254.94","5,274.72","5,243.63","-","0.38%"
"Apr 05, 2019","5,254.94","5,283.70","5,290.31","5,254.94","-","-0.54%"
"Apr 04, 2019","5,283.70","5,222.96","5,283.70","5,204.13","-","1.16%"
"Apr 03, 2019","5,222.96","5,208.55","5,244.14","5,202.69","-","0.28%"
"Apr 02, 2019","5,208.55","5,256.67","5,266.10","5,193.33","-","-0.92%"
"Apr 01, 2019","5,256.67","5,259.41","5,287.59","5,255.56","-","-0.05%"
"Mar 29, 2019","5,259.41","5,214.02","5,259.41","5,214.02","-","0.87%"
"Mar 28, 2019","5,214.02","5,174.14","5,214.02","5,167.33","-","0.77%"
"Mar 27, 2019","5,174.14","5,190.89","5,192.92","5,154.59","-","-0.32%"
"Mar 26, 2019","5,190.89","5,193.52","5,209.90","5,166.60","-","-0.05%"
"Mar 25, 2019","5,193.52","5,209.98","5,224.83","5,155.16","-","-0.32%"
"Mar 22, 2019","5,209.98","5,261.33","5,264.54","5,175.93","-","-0.98%"
"Mar 21, 2019","5,261.33","5,245.09","5,262.38","5,232.96","-","0.31%"
"Mar 20, 2019","5,245.09","5,305.72","5,309.84","5,245.09","-","-1.14%"
"Mar 19, 2019","5,305.72","5,324.40","5,339.54","5,303.04","-","-0.35%"
"Mar 18, 2019","5,324.40","5,324.12","5,339.83","5,306.38","-","0.01%"
"Mar 15, 2019","5,324.12","5,300.79","5,345.32","5,300.79","-","0.44%"
"Mar 14, 2019","5,300.79","5,313.49","5,317.97","5,286.63","-","-0.24%"
"Mar 13, 2019","5,313.49","5,289.44","5,319.17","5,289.44","-","0.45%"
"Mar 12, 2019","5,289.44","5,299.33","5,328.39","5,288.22","-","-0.19%"
"Mar 11, 2019","5,299.33","5,274.96","5,329.91","5,273.77","-","0.46%"
"Mar 08, 2019","5,274.96","5,256.82","5,285.31","5,213.37","-","0.35%"
"Mar 07, 2019","5,256.82","5,256.07","5,267.59","5,236.42","-","0.01%"
"Mar 06, 2019","5,256.07","5,229.90","5,260.60","5,229.90","-","0.50%"
"Mar 05, 2019","5,229.90","5,240.89","5,255.05","5,227.34","-","-0.21%"
"Mar 04, 2019","5,240.89","5,274.66","5,291.91","5,229.58","-","-0.64%"
"Mar 01, 2019","5,274.66","5,287.54","5,301.04","5,269.44","-","-0.24%"
"Feb 28, 2019","5,287.54","5,372.59","5,372.59","5,280.68","-","-1.58%"
"Feb 27, 2019","5,372.59","5,475.54","5,476.20","5,356.58","-","-1.88%"
"Feb 26, 2019","5,475.54","5,479.69","5,493.32","5,449.30","-","-0.08%"
"Feb 25, 2019","5,479.69","5,483.92","5,515.95","5,477.96","-","-0.08%"
"Feb 22, 2019","5,483.92","5,439.12","5,485.09","5,434.45","-","0.82%"
"Feb 21, 2019","5,439.12","5,410.50","5,439.21","5,387.44","-","0.53%"
"Feb 20, 2019","5,410.50","5,386.31","5,422.75","5,384.99","-","0.45%"
"Feb 19, 2019","5,386.31","5,370.29","5,387.37","5,358.52","-","0.30%"
"Feb 18, 2019","5,370.29","5,399.83","5,401.47","5,360.10","-","-0.55%"
"Feb 15, 2019","5,399.83","5,376.39","5,401.79","5,356.37","-","0.44%"
"Feb 14, 2019","5,376.39","5,386.61","5,398.75","5,368.13","-","-0.19%"
"Feb 13, 2019","5,386.61","5,384.88","5,398.75","5,376.64","-","0.03%"
"Feb 12, 2019","5,384.88","5,375.07","5,384.88","5,358.40","-","0.18%"
"Feb 11, 2019","5,375.07","5,379.08","5,398.28","5,363.02","-","-0.07%"
"Feb 08, 2019","5,379.09","5,426.94","5,431.13","5,360.37","-","-0.88%"
"Feb 07, 2019","5,426.94","5,426.51","5,442.87","5,409.27","-","0.01%"
"Feb 06, 2019","5,426.51","5,466.54","5,470.81","5,425.41","-","-0.73%"
"Feb 05, 2019","5,466.54","5,472.93","5,479.84","5,461.64","-","-0.12%"
"Feb 04, 2019","5,472.93","5,452.97","5,481.08","5,429.30","-","0.37%"
"Feb 01, 2019","5,452.97","5,405.61","5,455.36","5,405.61","-","0.88%"
"Jan 31, 2019","5,405.61","5,388.34","5,453.09","5,388.31","-","0.32%"
"Jan 30, 2019","5,388.34","5,415.76","5,422.51","5,386.60","-","-0.51%"
"Jan 29, 2019","5,415.76","5,445.91","5,446.60","5,407.92","-","-0.55%"
"Jan 28, 2019","5,445.91","5,441.72","5,446.08","5,376.24","-","0.08%"
"Jan 25, 2019","5,441.72","5,414.85","5,442.45","5,407.02","-","0.50%"
"Jan 24, 2019","5,414.85","5,402.74","5,415.50","5,385.44","-","0.22%"
"Jan 23, 2019","5,402.74","5,401.13","5,418.67","5,369.04","-","0.03%"
"Jan 22, 2019","5,401.13","5,456.39","5,456.39","5,344.31","-","-1.04%"
"Jan 21, 2019","5,457.80","5,479.04","5,484.18","5,423.01","-","-0.39%"
"Jan 18, 2019","5,479.04","5,435.94","5,479.36","5,435.94","-","0.79%"
"Jan 17, 2019","5,435.94","5,419.07","5,435.94","5,401.67","-","0.31%"
"Jan 16, 2019","5,419.07","5,373.92","5,419.14","5,373.39","-","0.84%"
"Jan 15, 2019","5,373.92","5,357.15","5,377.58","5,354.25","-","0.31%"
"Jan 14, 2019","5,357.15","5,352.88","5,357.93","5,313.41","-","0.08%"
"Jan 11, 2019","5,352.88","5,297.95","5,358.44","5,297.69","-","1.04%"
"Jan 10, 2019","5,297.95","5,264.51","5,303.31","5,256.29","-","0.64%"
"Jan 09, 2019","5,264.51","5,224.28","5,281.22","5,224.28","-","0.77%"
"Jan 08, 2019","5,224.28","5,190.06","5,229.69","5,190.06","-","0.66%"
"Jan 07, 2019","5,190.06","5,189.20","5,221.37","5,181.24","-","0.02%"
"Jan 04, 2019","5,189.20","5,129.15","5,195.45","5,128.83","-","1.17%"
"Jan 03, 2019","5,129.15","5,125.37","5,146.30","5,096.07","-","0.07%"
"Jan 02, 2019","5,125.37","5,105.43","5,137.32","5,064.41","-","0.39%"
"Dec 28, 2018","5,105.43","5,070.65","5,112.99","5,070.65","-","0.69%"
"Dec 27, 2018","5,070.65","5,062.78","5,086.88","5,057.25","-","0.16%"
"Dec 26, 2018","5,062.78","5,030.73","5,074.13","5,007.94","-","0.64%"
"Dec 24, 2018","5,030.73","5,063.33","5,067.33","5,015.21","-","-0.64%"
"Dec 21, 2018","5,063.33","5,053.37","5,078.66","5,022.93","-","0.20%"
"Dec 20, 2018","5,053.37","5,109.92","5,109.92","5,010.44","-","-1.11%"
"Dec 19, 2018","5,109.92","5,116.83","5,127.93","5,105.10","-","-0.14%"
"Dec 18, 2018","5,116.83","5,105.15","5,135.83","5,101.50","-","0.23%"
"Dec 17, 2018","5,105.15","5,164.25","5,166.25","5,095.20","-","-1.14%"
"Dec 14, 2018","5,164.25","5,160.00","5,173.04","5,142.06","-","0.08%"
"Dec 13, 2018","5,160.00","5,118.56","5,165.50","5,107.03","-","0.81%"
"Dec 12, 2018","5,118.56","5,071.74","5,126.80","5,071.74","-","0.92%"
"Dec 11, 2018","5,071.74","5,035.00","5,076.31","5,032.70","-","0.73%"
"Dec 10, 2018","5,035.00","5,094.62","5,104.54","5,008.95","-","-1.17%"
"Dec 07, 2018","5,094.62","5,121.08","5,149.77","5,079.31","-","-0.52%"
"Dec 06, 2018","5,121.08","5,141.89","5,144.31","5,065.61","-","-0.40%"
"Dec 05, 2018","5,141.89","5,149.11","5,163.96","5,129.60","-","-0.14%"
"Dec 04, 2018","5,149.11","5,151.67","5,162.53","5,114.82","-","-0.05%"
"Dec 03, 2018","5,151.67","5,111.88","5,185.98","5,111.88","-","0.78%"
"Nov 30, 2018","5,111.88","5,156.43","5,159.73","5,095.58","-","-0.86%"
"Nov 29, 2018","5,156.43","5,114.16","5,159.22","5,108.86","-","0.83%"
"Nov 28, 2018","5,114.16","5,128.14","5,136.19","5,096.91","-","-0.27%"
"Nov 27, 2018","5,128.14","5,133.42","5,137.77","5,115.33","-","-0.10%"
"Nov 26, 2018","5,133.42","5,140.74","5,153.13","5,124.69","-","-0.14%"
"Nov 23, 2018","5,140.74","5,117.15","5,145.42","5,101.01","-","0.46%"
"Nov 22, 2018","5,117.15","5,128.45","5,128.45","5,104.76","-","-0.22%"
"Nov 21, 2018","5,128.45","5,100.34","5,137.70","5,100.34","-","0.55%"
"Nov 20, 2018","5,100.35","5,164.27","5,164.27","5,097.16","-","-1.24%"
"Nov 19, 2018","5,164.27","5,190.98","5,203.41","5,150.96","-","-0.51%"
"Nov 16, 2018","5,190.98","5,175.96","5,199.05","5,167.40","-","0.29%"
"Nov 15, 2018","5,175.96","5,135.81","5,179.84","5,128.56","-","0.78%"
"Nov 14, 2018","5,135.81","5,129.98","5,145.93","5,122.94","-","0.11%"
"Nov 13, 2018","5,129.98","5,153.00","5,172.07","5,126.38","-","-0.45%"
"Nov 12, 2018","5,153.00","5,180.35","5,185.57","5,142.29","-","-0.53%"
"Nov 09, 2018","5,180.35","5,227.56","5,227.57","5,170.89","-","-0.90%"
"Nov 08, 2018","5,227.57","5,221.33","5,243.35","5,220.40","-","0.12%"
"Nov 07, 2018","5,221.33","5,221.93","5,272.36","5,215.29","-","-0.01%"
"Nov 06, 2018","5,221.93","5,250.95","5,251.68","5,217.09","-","-0.55%"
"Nov 05, 2018","5,250.95","5,104.33","5,253.87","5,104.33","-","2.87%"
"Oct 31, 2018","5,104.33","5,016.10","5,119.25","5,016.10","-","1.76%"
"Oct 30, 2018","5,016.10","5,063.63","5,078.33","4,998.95","-","-0.94%"
"Oct 29, 2018","5,063.63","5,124.10","5,166.53","5,057.09","-","-1.18%"
"Oct 26, 2018","5,124.10","5,141.67","5,153.68","5,115.30","-","-0.34%"
"Oct 25, 2018","5,141.67","5,140.54","5,151.69","5,120.54","-","0.02%"
"Oct 24, 2018","5,140.55","5,114.17","5,159.55","5,114.17","-","0.52%"
"Oct 23, 2018","5,114.17","5,122.51","5,122.60","5,060.11","-","-0.16%"
"Oct 22, 2018","5,122.51","5,118.74","5,152.64","5,118.74","-","0.07%"
"Oct 19, 2018","5,118.74","5,119.06","5,138.66","5,111.20","-","-0.01%"
"Oct 18, 2018","5,119.06","5,141.19","5,150.06","5,099.11","-","-0.43%"
"Oct 17, 2018","5,141.19","5,144.34","5,173.27","5,137.95","-","-0.06%"
"Oct 16, 2018","5,144.34","5,144.98","5,260.21","5,129.11","-","-0.01%"
"Oct 12, 2018","5,144.98","5,168.90","5,222.23","5,138.71","-","-0.46%"
"Oct 11, 2018","5,168.90","5,232.71","5,234.22","5,120.28","-","-1.22%"
"Oct 10, 2018","5,232.71","5,307.93","5,313.38","5,222.17","-","-1.42%"
"Oct 09, 2018","5,307.93","5,327.40","5,336.59","5,305.49","-","-0.37%"
"Oct 08, 2018","5,327.40","5,260.00","5,345.39","5,260.00","-","1.28%"
"Oct 05, 2018","5,260.00","5,326.13","5,341.42","5,253.85","-","-1.24%"
"Oct 04, 2018","5,326.13","5,342.89","5,353.50","5,307.61","-","-0.31%"
"Oct 03, 2018","5,342.89","5,323.49","5,366.21","5,323.49","-","0.36%"
"Oct 02, 2018","5,323.49","5,298.38","5,326.97","5,292.24","-","0.47%"
"Oct 01, 2018","5,298.38","5,283.53","5,301.71","5,263.45","-","0.28%"
"Sep 28, 2018","5,283.53","5,323.62","5,323.62","5,275.48","-","-0.75%"
"Sep 27, 2018","5,323.62","5,333.83","5,344.23","5,305.36","-","-0.19%"
"Sep 26, 2018","5,333.83","5,360.58","5,366.81","5,325.85","-","-0.50%"
"Sep 25, 2018","5,360.58","5,385.65","5,385.77","5,338.03","-","-0.47%"
"Sep 24, 2018","5,385.65","5,461.82","5,465.49","5,378.62","-","-1.39%"
"Sep 21, 2018","5,461.82","5,446.18","5,507.58","5,407.40","-","0.29%"
"Sep 20, 2018","5,446.18","5,354.45","5,460.82","5,354.45","-","1.71%"
"Sep 14, 2018","5,354.45","5,362.86","5,379.91","5,345.74","-","-0.11%"
"Sep 13, 2018","5,360.54","5,262.42","5,363.96","5,262.42","-","1.86%"
"Sep 12, 2018","5,262.42","5,212.36","5,264.33","5,211.17","-","0.96%"
"Sep 11, 2018","5,212.36","5,203.93","5,217.93","5,185.16","-","0.16%"
"Sep 10, 2018","5,203.93","5,218.14","5,234.46","5,175.29","-","-0.27%"
"Sep 07, 2018","5,218.14","5,169.52","5,226.69","5,166.89","-","0.94%"
"Sep 06, 2018","5,169.52","5,137.49","5,187.18","5,137.49","-","0.62%"
"Sep 05, 2018","5,137.49","5,173.03","5,182.23","5,137.49","-","-0.69%"
"Sep 04, 2018","5,173.03","5,236.34","5,239.06","5,168.41","-","-1.21%"
"Sep 03, 2018","5,236.34","5,270.43","5,276.24","5,233.03","-","-0.65%"
"Aug 31, 2018","5,270.43","5,244.57","5,274.97","5,232.25","-","0.49%"
"Aug 30, 2018","5,244.57","5,297.78","5,317.28","5,236.19","-","-1.00%"
"Aug 29, 2018","5,297.78","5,291.19","5,311.23","5,291.19","-","0.12%"
"Aug 28, 2018","5,291.19","5,281.23","5,294.85","5,268.56","-","0.19%"
"Aug 27, 2018","5,281.23","5,259.76","5,302.23","5,259.76","-","0.41%"
"Aug 24, 2018","5,259.76","5,268.95","5,277.29","5,255.31","-","-0.17%"
"Aug 23, 2018","5,268.95","5,274.31","5,289.90","5,261.43","-","-0.10%"
"Aug 22, 2018","5,274.31","5,251.14","5,281.06","5,241.00","-","0.44%"
"Aug 21, 2018","5,251.14","5,241.43","5,258.45","5,234.79","-","0.19%"
"Aug 20, 2018","5,241.43","5,256.23","5,272.23","5,233.37","-","-0.03%"
"Aug 17, 2018","5,242.77","5,256.23","5,272.23","5,236.00","-","-0.26%"
"Aug 16, 2018","5,256.23","5,272.05","5,274.91","5,234.09","-","-0.30%"
"Aug 14, 2018","5,272.05","5,227.49","5,287.75","5,227.49","-","0.78%"
"Aug 13, 2018","5,231.36","5,267.25","5,275.66","5,224.29","-","-0.68%"
"Aug 10, 2018","5,267.25","5,294.29","5,294.29","5,222.43","-","-0.51%"
"Aug 09, 2018","5,294.22","5,319.26","5,320.51","5,275.89","-","-0.46%"
"Aug 08, 2018","5,318.61","5,328.36","5,350.76","5,310.59","-","-0.18%"
"Aug 07, 2018","5,328.36","5,362.69","5,362.88","5,325.12","-","-0.70%"
"Aug 06, 2018","5,366.03","5,405.32","5,406.89","5,360.50","-","-0.73%"
"Aug 03, 2018","5,405.32","5,386.07","5,437.49","5,386.07","-","0.36%"
"Aug 02, 2018","5,386.07","5,398.37","5,401.17","5,349.27","-","-0.23%"
"Aug 01, 2018","5,398.37","5,434.44","5,454.35","5,378.77","-","-0.66%"
"Jul 31, 2018","5,434.44","5,382.69","5,444.02","5,382.28","-","0.96%"
"Jul 30, 2018","5,382.69","5,369.51","5,395.62","5,363.65","-","0.25%"
"Jul 27, 2018","5,369.51","5,442.68","5,457.35","5,358.23","-","-1.34%"
"Jul 26, 2018","5,442.68","5,457.96","5,483.04","5,436.32","-","-0.28%"
"Jul 25, 2018","5,457.96","5,450.19","5,468.11","5,429.47","-","0.14%"
"Jul 24, 2018","5,450.19","5,407.59","5,457.14","5,406.94","-","0.79%"
"Jul 23, 2018","5,407.59","5,430.13","5,437.28","5,402.73","-","-0.42%"
"Jul 20, 2018","5,430.13","5,371.21","5,433.27","5,366.65","-","1.10%"
"Jul 19, 2018","5,371.21","5,377.46","5,379.53","5,351.31","-","-0.12%"
"Jul 18, 2018","5,377.46","5,351.70","5,384.98","5,351.50","-","0.48%"
"Jul 17, 2018","5,351.70","5,305.39","5,363.95","5,292.85","-","0.87%"
"Jul 13, 2018","5,305.39","5,283.82","5,309.30","5,264.70","-","0.41%"
"Jul 12, 2018","5,283.82","5,297.48","5,302.70","5,278.19","-","-0.26%"
"Jul 11, 2018","5,297.48","5,323.29","5,323.29","5,277.81","-","-0.48%"
"Jul 10, 2018","5,323.29","5,325.52","5,332.36","5,308.14","-","-0.04%"
"Jul 09, 2018","5,325.52","5,284.64","5,333.17","5,281.60","-","0.77%"
"Jul 06, 2018","5,284.64","5,266.98","5,322.62","5,266.98","-","0.34%"
